address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost_for_two,reviews_list,cuisines_count,service_type,city_list,high_rated,cuisine_count,multi_cuisine
"Address_346, Bangalore",Onesta,No,No,4.2,2181,080-8529960,HSR Layout,Bakery,Steak,"Desserts, Continental, South Indian, Beverages",1500.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_755, Bangalore",Resto_755,Yes,No,,1796,080-9501071,MG Road,Cafe,Pizza,"Mexican, Chinese",400.0,Sample Review Text...,2,Dine-out,Bengaluru,0,2,1-2 Cuisines
"Address_38, Bangalore",Resto_38,No,Yes,3.0,1058,080-7818732,JP Nagar,Quick Service Restaurant,Salad,"Continental, Beverages, North Indian, Fast Food, Chinese",400.0,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_893, Bangalore",Burger King,No,No,3.8,589,080-1702825,Jayanagar,Bar,Biryani,"Chinese, Mexican",1000.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_965, Bangalore",Resto_965,Yes,No,2.4,419,080-2087833,JP Nagar,Bakery,Dosa,Fast Food,200.0,Sample Review Text...,1,Drinks & nightlife,Bengaluru,0,1,1-2 Cuisines
"Address_764, Bangalore",Resto_764,Yes,Yes,,2599,080-9066089,Koramangala,Bar,Salad,"South Indian, Mexican",1200.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,0,2,1-2 Cuisines
"Address_914, Bangalore",McDonald's,Yes,No,3.6,1025,080-3690055,Koramangala,Pub,Burgers,Chinese,600.0,Sample Review Text...,1,Cafes,Bengaluru,0,1,1-2 Cuisines
"Address_490, Bangalore",Leon Grill,No,Yes,4.2,1943,080-8193952,HSR Layout,Pub,Steak,"Beverages, Desserts, Fast Food, South Indian, North Indian",,Sample Review Text...,5,Dine-out,Bengaluru,1,5,3+ Cuisines
"Address_79, Bangalore",Resto_79,Yes,Yes,4.2,2023,080-2145653,Marathahalli,Bar,Salad,"Fast Food, Desserts, Thai, Mexican, Beverages",1200.0,Sample Review Text...,5,Cafes,Bengaluru,1,5,3+ Cuisines
"Address_622, Bangalore",Resto_622,Yes,Yes,4.6,580,080-3864292,Koramangala,Fine Dining,Biryani,"Mexican, Thai, North Indian, Chinese",,Sample Review Text...,4,Buffet,Bengaluru,1,4,3+ Cuisines
"Address_969, Bangalore",Empire Restaurant,No,Yes,2.9,2967,080-1293589,HSR Layout,Pub,Dosa,"Italian, Thai, Beverages, Desserts, Chinese",2500.0,Sample Review Text...,5,Delivery,Bengaluru,0,5,3+ Cuisines
"Address_713, Bangalore",Resto_713,No,Yes,,1236,080-7489687,MG Road,Casual Dining,Salad,"Mexican, South Indian, Fast Food",600.0,Sample Review Text...,3,Delivery,Bengaluru,0,3,3+ Cuisines
"Address_938, Bangalore",Resto_938,Yes,No,4.6,1227,080-3875197,MG Road,Cafe,Sushi,South Indian,2000.0,Sample Review Text...,1,Delivery,Bengaluru,1,1,1-2 Cuisines
"Address_662, Bangalore",McDonald's,No,No,2.5,182,080-9525883,Whitefield,Cafe,Sushi,"North Indian, Chinese, Italian, Mexican, South Indian",2500.0,Sample Review Text...,5,Dine-out,Bengaluru,0,5,3+ Cuisines
"Address_825, Bangalore",McDonald's,No,Yes,4.1,1306,080-4192453,Marathahalli,Quick Service Restaurant,Burgers,"Thai, Desserts, Continental, Mexican",2000.0,Sample Review Text...,4,Buffet,Bengaluru,1,4,3+ Cuisines
"Address_427, Bangalore",Pizza Hut,Yes,Yes,3.7,1705,080-2779557,Indiranagar,Cafe,Sushi,"Chinese, Thai, North Indian, South Indian",400.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_114, Bangalore",McDonald's,No,No,2.6,1009,080-9204110,Whitefield,Pub,Sushi,"Italian, Continental, Beverages",800.0,Sample Review Text...,3,Cafes,Bengaluru,0,3,3+ Cuisines
"Address_404, Bangalore",Resto_404,No,Yes,3.1,1598,080-4454568,JP Nagar,Pub,Sushi,Desserts,400.0,Sample Review Text...,1,Cafes,Bengaluru,0,1,1-2 Cuisines
"Address_977, Bangalore",Pizza Hut,Yes,Yes,3.3,365,080-2327930,Jayanagar,Quick Service Restaurant,Salad,"South Indian, Italian, Thai",1500.0,Sample Review Text...,3,Delivery,Bengaluru,0,3,3+ Cuisines
"Address_327, Bangalore",Nandhana Palace,No,Yes,4.6,631,080-9659503,HSR Layout,Quick Service Restaurant,Pasta,"Beverages, Continental, Thai, Chinese",400.0,Sample Review Text...,4,Dine-out,Bengaluru,1,4,3+ Cuisines
"Address_997, Bangalore",Resto_997,No,Yes,3.9,446,080-7424539,Whitefield,Bar,Pizza,North Indian,,Sample Review Text...,1,Pubs and bars,Bengaluru,0,1,1-2 Cuisines
"Address_281, Bangalore",Pizza Hut,No,Yes,2.5,1186,080-6379509,Indiranagar,Fine Dining,Biryani,"Fast Food, Desserts, Continental, Thai",3000.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_551, Bangalore",McDonald's,No,No,4.8,86,080-6740173,Jayanagar,Cafe,Steak,"Beverages, North Indian, Italian",200.0,Sample Review Text...,3,Buffet,Bengaluru,1,3,3+ Cuisines
"Address_17, Bangalore",Resto_17,No,Yes,4.6,1000,080-9874152,JP Nagar,Quick Service Restaurant,Biryani,"Desserts, Beverages",1000.0,Sample Review Text...,2,Pubs and bars,Bengaluru,1,2,1-2 Cuisines
"Address_983, Bangalore",Burger King,No,Yes,4.0,1649,080-3409702,Marathahalli,Cafe,Pizza,"Beverages, South Indian, North Indian, Fast Food",200.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_518, Bangalore",Resto_518,No,Yes,2.3,2322,080-7858398,HSR Layout,Cafe,Salad,"North Indian, South Indian",800.0,Sample Review Text...,2,Pubs and bars,Bengaluru,0,2,1-2 Cuisines
"Address_899, Bangalore",Resto_899,Yes,No,2.9,1543,080-8189752,Indiranagar,Casual Dining,Salad,Chinese,200.0,Sample Review Text...,1,Delivery,Bengaluru,0,1,1-2 Cuisines
"Address_670, Bangalore",Pizza Hut,Yes,Yes,3.0,2310,080-4534635,MG Road,Quick Service Restaurant,Steak,"Mexican, Thai, South Indian",600.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_608, Bangalore",Nandhana Palace,Yes,No,4.1,875,080-4559708,Marathahalli,Pub,Burgers,"Italian, Beverages, Chinese",1500.0,Sample Review Text...,3,Delivery,Bengaluru,1,3,3+ Cuisines
"Address_616, Bangalore",Onesta,No,Yes,3.0,2418,080-7100930,JP Nagar,Bar,Steak,"Desserts, South Indian, Chinese",600.0,Sample Review Text...,3,Cafes,Bengaluru,0,3,3+ Cuisines
"Address_219, Bangalore",Onesta,No,Yes,,2751,080-2699372,Indiranagar,Casual Dining,Dosa,"Desserts, South Indian, Chinese, Mexican, Continental",400.0,Sample Review Text...,5,Pubs and bars,Bengaluru,0,5,3+ Cuisines
"Address_718, Bangalore",Resto_718,No,Yes,2.9,145,080-2410072,Indiranagar,Quick Service Restaurant,Pizza,Beverages,1500.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_69, Bangalore",Burger King,Yes,Yes,3.9,2258,080-2595275,HSR Layout,Bakery,Sushi,"Italian, Mexican, Thai, Beverages",2000.0,Sample Review Text...,4,Cafes,Bengaluru,0,4,3+ Cuisines
"Address_252, Bangalore",Empire Restaurant,Yes,No,2.2,2635,080-2985251,,Cafe,Burgers,"South Indian, Fast Food",1200.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_600, Bangalore",Leon Grill,Yes,Yes,2.1,534,080-5114686,Marathahalli,Fine Dining,Steak,"South Indian, Italian, Beverages",1000.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,0,3,3+ Cuisines
"Address_49, Bangalore",Resto_49,No,No,4.2,833,080-5014745,Whitefield,Pub,Pasta,"Continental, Desserts",2000.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,1,2,1-2 Cuisines
"Address_982, Bangalore",Onesta,No,Yes,4.5,948,080-8543762,,Casual Dining,Biryani,"South Indian, Beverages, Thai, Italian, North Indian",1200.0,Sample Review Text...,5,Cafes,Bengaluru,1,5,3+ Cuisines
"Address_241, Bangalore",Nandhana Palace,Yes,No,3.3,1656,080-2060950,MG Road,Quick Service Restaurant,Biryani,Mexican,400.0,Sample Review Text...,1,Pubs and bars,Bengaluru,0,1,1-2 Cuisines
"Address_854, Bangalore",McDonald's,No,Yes,4.4,1529,080-8611052,MG Road,Pub,Pasta,"Italian, Thai, Mexican, Beverages",400.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_107, Bangalore",Onesta,Yes,Yes,3.5,986,080-8895137,HSR Layout,Pub,Dosa,"North Indian, Fast Food, Continental",2000.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_253, Bangalore",Nandhana Palace,No,No,3.7,2651,080-3260294,MG Road,Casual Dining,Biryani,"North Indian, South Indian",3000.0,Sample Review Text...,2,Buffet,Bengaluru,0,2,1-2 Cuisines
"Address_931, Bangalore",Leon Grill,No,Yes,2.1,2824,080-6139499,MG Road,Pub,Steak,"North Indian, Desserts, Italian",600.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,0,3,3+ Cuisines
"Address_873, Bangalore",Resto_873,Yes,No,3.1,2255,080-8629616,MG Road,Casual Dining,Dosa,Italian,,Sample Review Text...,1,Buffet,Bengaluru,0,1,1-2 Cuisines
"Address_5, Bangalore",Onesta,Yes,No,4.2,2207,080-1790481,Whitefield,Fine Dining,Pizza,"Mexican, Fast Food, Thai, Chinese, Beverages",2500.0,Sample Review Text...,5,Dine-out,Bengaluru,1,5,3+ Cuisines
"Address_341, Bangalore",McDonald's,Yes,No,2.2,2990,080-6242875,Whitefield,Bakery,Biryani,"Chinese, Beverages, Fast Food, Desserts, Italian",400.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_139, Bangalore",McDonald's,Yes,Yes,4.6,2835,080-1552000,Marathahalli,Quick Service Restaurant,Pasta,Chinese,,Sample Review Text...,1,Drinks & nightlife,Bengaluru,1,1,1-2 Cuisines
"Address_857, Bangalore",Empire Restaurant,No,Yes,3.0,1047,080-6889724,Marathahalli,Bar,Salad,"Beverages, Chinese, Mexican, Thai",3000.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_77, Bangalore",McDonald's,Yes,No,4.7,360,080-9790632,MG Road,Bar,Pizza,Italian,1500.0,Sample Review Text...,1,Cafes,Bengaluru,1,1,1-2 Cuisines
"Address_85, Bangalore",Empire Restaurant,No,Yes,2.4,740,080-5780297,Jayanagar,Fine Dining,Salad,"North Indian, Mexican, Thai, Desserts",800.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_37, Bangalore",Pizza Hut,No,No,4.1,1099,080-8796514,JP Nagar,Bar,Steak,"Chinese, Continental",2000.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,1,2,1-2 Cuisines
"Address_555, Bangalore",Resto_555,Yes,No,4.7,2914,080-6396217,MG Road,Cafe,Burgers,"North Indian, South Indian, Fast Food",200.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,1,3,3+ Cuisines
"Address_421, Bangalore",Resto_421,Yes,Yes,2.8,2530,080-6423167,Marathahalli,Cafe,Steak,"Fast Food, Desserts, Chinese",200.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_458, Bangalore",KFC,Yes,Yes,3.5,76,080-8452933,Indiranagar,Fine Dining,Pizza,"South Indian, North Indian, Continental, Mexican, Chinese",800.0,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_663, Bangalore",Resto_663,Yes,Yes,4.9,321,080-9854283,Indiranagar,Cafe,Biryani,"Beverages, Fast Food, Mexican, Continental, Thai",400.0,Sample Review Text...,5,Buffet,Bengaluru,1,5,3+ Cuisines
"Address_60, Bangalore",Resto_60,No,No,2.5,541,080-6682698,JP Nagar,Pub,Pizza,"Continental, South Indian, Fast Food, Mexican, Italian",1000.0,Sample Review Text...,5,Cafes,Bengaluru,0,5,3+ Cuisines
"Address_14, Bangalore",Onesta,Yes,Yes,4.8,2372,080-9910817,Koramangala,Fine Dining,Pasta,"North Indian, Fast Food, Desserts",,Sample Review Text...,3,Delivery,Bengaluru,1,3,3+ Cuisines
"Address_674, Bangalore",Resto_674,No,No,4.1,2752,080-1597875,Indiranagar,Fine Dining,Biryani,"North Indian, Mexican, Chinese",2500.0,Sample Review Text...,3,Dine-out,Bengaluru,1,3,3+ Cuisines
"Address_242, Bangalore",McDonald's,Yes,No,2.9,354,080-3288101,Whitefield,Bar,Steak,"Mexican, Fast Food, North Indian, Italian",600.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_160, Bangalore",McDonald's,No,No,4.8,2107,080-6403886,Indiranagar,Cafe,Burgers,"North Indian, Continental, South Indian, Thai",600.0,Sample Review Text...,4,Pubs and bars,Bengaluru,1,4,3+ Cuisines
"Address_676, Bangalore",Onesta,Yes,Yes,,2817,080-4020978,Whitefield,Pub,Dosa,"Fast Food, Italian, Thai, Beverages",2500.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_777, Bangalore",Pizza Hut,No,No,4.8,1133,080-5415321,Marathahalli,Bar,Pasta,Thai,2000.0,Sample Review Text...,1,Dine-out,Bengaluru,1,1,1-2 Cuisines
"Address_503, Bangalore",Nandhana Palace,No,No,2.5,848,080-6425211,MG Road,Bakery,Pasta,Italian,800.0,Sample Review Text...,1,Delivery,Bengaluru,0,1,1-2 Cuisines
"Address_924, Bangalore",Resto_924,No,No,3.8,510,080-3150688,MG Road,Quick Service Restaurant,Pasta,"Desserts, North Indian, Chinese, Italian, Continental",800.0,Sample Review Text...,5,Pubs and bars,Bengaluru,0,5,3+ Cuisines
"Address_4, Bangalore",Pizza Hut,Yes,No,4.3,938,080-6279418,Koramangala,Bar,Burgers,"Mexican, Continental, Chinese",800.0,Sample Review Text...,3,Pubs and bars,Bengaluru,1,3,3+ Cuisines
"Address_565, Bangalore",Leon Grill,Yes,No,2.5,1155,080-3407905,Koramangala,Quick Service Restaurant,Pizza,"South Indian, Mexican",3000.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_858, Bangalore",Resto_858,No,Yes,3.6,339,080-5049661,HSR Layout,Fine Dining,Salad,Desserts,1500.0,Sample Review Text...,1,Delivery,Bengaluru,0,1,1-2 Cuisines
"Address_803, Bangalore",McDonald's,No,Yes,2.2,1556,080-8363043,Jayanagar,Quick Service Restaurant,Biryani,"Chinese, Italian, South Indian, Thai, Fast Food",1200.0,Sample Review Text...,5,Cafes,Bengaluru,0,5,3+ Cuisines
"Address_158, Bangalore",KFC,No,Yes,3.9,1013,080-2459332,Whitefield,Bar,Salad,Desserts,1000.0,Sample Review Text...,1,Delivery,Bengaluru,0,1,1-2 Cuisines
"Address_46, Bangalore",Pizza Hut,No,No,3.4,329,080-1348050,Koramangala,Bakery,Dosa,"Fast Food, Continental, North Indian",400.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_101, Bangalore",Resto_101,No,No,4.4,302,080-6779998,Jayanagar,Quick Service Restaurant,Pasta,Desserts,2000.0,Sample Review Text...,1,Buffet,Bengaluru,1,1,1-2 Cuisines
"Address_834, Bangalore",Pizza Hut,Yes,Yes,3.5,1016,080-5967790,MG Road,Bakery,Biryani,Continental,1000.0,Sample Review Text...,1,Delivery,Bengaluru,0,1,1-2 Cuisines
"Address_751, Bangalore",McDonald's,Yes,Yes,4.8,460,080-8813403,Jayanagar,Bar,Salad,"Chinese, Desserts, Italian, Mexican, North Indian",,Sample Review Text...,5,Pubs and bars,Bengaluru,1,5,3+ Cuisines
"Address_949, Bangalore",Pizza Hut,Yes,Yes,4.1,2636,080-2076525,Jayanagar,Pub,Steak,"Desserts, Italian, Beverages, Fast Food",800.0,Sample Review Text...,4,Drinks & nightlife,Bengaluru,1,4,3+ Cuisines
"Address_513, Bangalore",McDonald's,No,No,4.7,1528,080-3088386,MG Road,Bakery,Steak,"Fast Food, Chinese, Mexican",200.0,Sample Review Text...,3,Buffet,Bengaluru,1,3,3+ Cuisines
"Address_355, Bangalore",Resto_355,No,Yes,3.0,347,080-5001116,Marathahalli,Fine Dining,Salad,"South Indian, North Indian",800.0,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_335, Bangalore",Onesta,No,Yes,2.5,1662,080-2031500,Indiranagar,Pub,Pizza,Fast Food,1500.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_981, Bangalore",Leon Grill,Yes,Yes,,661,080-8044211,Indiranagar,Bakery,Pasta,"Beverages, South Indian, Chinese, Thai, Desserts",1000.0,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_629, Bangalore",Leon Grill,Yes,No,4.1,1769,080-7480045,Indiranagar,Quick Service Restaurant,Steak,"North Indian, Desserts",1200.0,Sample Review Text...,2,Cafes,Bengaluru,1,2,1-2 Cuisines
"Address_94, Bangalore",Resto_94,No,No,4.2,1583,080-2324175,JP Nagar,Cafe,Steak,"Desserts, Thai, Continental, Mexican",400.0,Sample Review Text...,4,Buffet,Bengaluru,1,4,3+ Cuisines
"Address_646, Bangalore",Pizza Hut,No,No,2.2,646,080-2860164,Whitefield,Casual Dining,Salad,"Fast Food, Italian, Continental, Beverages, Desserts",200.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_807, Bangalore",Resto_807,Yes,No,4.6,1507,080-4808186,Koramangala,Bakery,Steak,"South Indian, North Indian, Desserts",1500.0,Sample Review Text...,3,Dine-out,Bengaluru,1,3,3+ Cuisines
"Address_199, Bangalore",Resto_199,No,Yes,3.3,2569,080-6471499,Jayanagar,Bar,Dosa,"Continental, Thai, Chinese, North Indian, Italian",2500.0,Sample Review Text...,5,Buffet,Bengaluru,0,5,3+ Cuisines
"Address_422, Bangalore",Resto_422,No,No,2.7,390,080-1763562,Koramangala,Casual Dining,Biryani,"Italian, Desserts, Thai",,Sample Review Text...,3,Drinks & nightlife,Bengaluru,0,3,3+ Cuisines
"Address_314, Bangalore",Onesta,Yes,Yes,3.7,2851,080-4387856,Jayanagar,Bakery,Salad,"Thai, Desserts, North Indian, Chinese",2000.0,Sample Review Text...,4,Delivery,Bengaluru,0,4,3+ Cuisines
"Address_385, Bangalore",Onesta,Yes,No,3.6,1056,080-1294357,Marathahalli,Fine Dining,Dosa,Thai,2500.0,Sample Review Text...,1,Dine-out,Bengaluru,0,1,1-2 Cuisines
"Address_900, Bangalore",Leon Grill,Yes,Yes,2.1,1193,080-6538859,JP Nagar,Fine Dining,Pizza,"Fast Food, Chinese, North Indian",600.0,Sample Review Text...,3,Delivery,Bengaluru,0,3,3+ Cuisines
"Address_605, Bangalore",Resto_605,No,No,3.4,2099,080-6227531,MG Road,Cafe,Pasta,"South Indian, Italian, Continental",1500.0,Sample Review Text...,3,Dine-out,Bengaluru,0,3,3+ Cuisines
"Address_313, Bangalore",Empire Restaurant,No,Yes,3.3,1247,080-9673311,Whitefield,Bakery,Pasta,"Mexican, Continental",,Sample Review Text...,2,Cafes,Bengaluru,0,2,1-2 Cuisines
"Address_542, Bangalore",Burger King,No,Yes,4.0,2921,080-1886921,Jayanagar,Fine Dining,Sushi,"South Indian, Mexican",3000.0,Sample Review Text...,2,Pubs and bars,Bengaluru,1,2,1-2 Cuisines
"Address_918, Bangalore",McDonald's,Yes,No,3.2,159,080-7912713,Indiranagar,Casual Dining,Pizza,"South Indian, Continental, Mexican",600.0,Sample Review Text...,3,Buffet,Bengaluru,0,3,3+ Cuisines
"Address_184, Bangalore",Resto_184,Yes,Yes,3.8,2651,080-8033593,Whitefield,Bakery,Burgers,"Beverages, Desserts, North Indian, Fast Food",1000.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_105, Bangalore",Onesta,Yes,No,2.9,2942,080-6353876,JP Nagar,Fine Dining,Burgers,"Mexican, South Indian, Thai",2500.0,Sample Review Text...,3,Cafes,Bengaluru,0,3,3+ Cuisines
"Address_198, Bangalore",Onesta,Yes,No,3.1,2925,080-3804559,Koramangala,Pub,Burgers,"Beverages, South Indian, Chinese, Mexican, Italian",600.0,Sample Review Text...,5,Dine-out,Bengaluru,0,5,3+ Cuisines
"Address_630, Bangalore",Nandhana Palace,No,No,2.5,1785,080-6116985,JP Nagar,Bar,Pizza,"South Indian, Italian, Continental, Chinese, Beverages",2500.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,0,5,3+ Cuisines
"Address_477, Bangalore",Leon Grill,Yes,Yes,2.2,1276,080-6752912,MG Road,Pub,Dosa,"Continental, Beverages, South Indian",600.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,0,3,3+ Cuisines
"Address_287, Bangalore",Resto_287,Yes,Yes,2.7,2287,080-1662507,JP Nagar,Bar,Salad,"Italian, North Indian, Mexican, South Indian",600.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_457, Bangalore",Resto_457,No,No,3.1,2215,080-6181610,Koramangala,Fine Dining,Pizza,"Continental, Chinese, South Indian, Thai",200.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_409, Bangalore",Resto_409,Yes,No,2.4,113,080-1620819,,Bar,Burgers,"Desserts, Fast Food, Mexican",1500.0,Sample Review Text...,3,Dine-out,Bengaluru,0,3,3+ Cuisines
"Address_696, Bangalore",McDonald's,Yes,Yes,4.5,2744,080-1179053,JP Nagar,Fine Dining,Burgers,"Italian, Beverages, Fast Food, Desserts",1200.0,Sample Review Text...,4,Cafes,Bengaluru,1,4,3+ Cuisines
"Address_837, Bangalore",McDonald's,No,Yes,4.4,141,080-2139083,Whitefield,Quick Service Restaurant,Pasta,"Fast Food, North Indian, Beverages, Thai, Mexican",600.0,Sample Review Text...,5,Dine-out,Bengaluru,1,5,3+ Cuisines
"Address_569, Bangalore",Leon Grill,No,No,4.5,1575,080-5728058,Indiranagar,Bakery,Sushi,"Chinese, Italian",400.0,Sample Review Text...,2,Delivery,Bengaluru,1,2,1-2 Cuisines
"Address_463, Bangalore",Leon Grill,No,No,4.5,2049,080-8109386,HSR Layout,Bar,Salad,"Thai, Beverages",600.0,Sample Review Text...,2,Delivery,Bengaluru,1,2,1-2 Cuisines
"Address_211, Bangalore",Nandhana Palace,No,Yes,4.5,1563,080-6749046,Whitefield,Bakery,Steak,South Indian,600.0,Sample Review Text...,1,Buffet,Bengaluru,1,1,1-2 Cuisines
"Address_682, Bangalore",Resto_682,Yes,Yes,4.3,173,080-3074382,Jayanagar,Quick Service Restaurant,Steak,"North Indian, Italian, Beverages",200.0,Sample Review Text...,3,Pubs and bars,Bengaluru,1,3,3+ Cuisines
"Address_401, Bangalore",Resto_401,Yes,No,4.0,2343,080-7338393,Marathahalli,Bakery,Sushi,"South Indian, Beverages, North Indian, Italian, Fast Food",2000.0,Sample Review Text...,5,Drinks & nightlife,Bengaluru,1,5,3+ Cuisines
"Address_132, Bangalore",Nandhana Palace,No,Yes,4.0,1624,080-6174467,HSR Layout,Pub,Dosa,"Continental, Mexican, Desserts",2500.0,Sample Review Text...,3,Drinks & nightlife,Bengaluru,1,3,3+ Cuisines
"Address_810, Bangalore",KFC,Yes,No,2.5,1574,080-3614824,MG Road,Cafe,Steak,"North Indian, Italian, Mexican, Continental",600.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_836, Bangalore",Resto_836,No,No,2.4,69,080-7291943,Indiranagar,Casual Dining,Biryani,"Beverages, Desserts, Thai",600.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_344, Bangalore",Resto_344,Yes,Yes,4.1,2699,080-9848116,Marathahalli,Quick Service Restaurant,Biryani,"Continental, Italian",2000.0,Sample Review Text...,2,Drinks & nightlife,Bengaluru,1,2,1-2 Cuisines
"Address_89, Bangalore",Onesta,No,Yes,2.1,883,080-1801102,Jayanagar,Pub,Burgers,"Beverages, Mexican, Chinese, Fast Food, South Indian",800.0,Sample Review Text...,5,Cafes,Bengaluru,0,5,3+ Cuisines
"Address_3, Bangalore",Nandhana Palace,No,No,4.4,666,080-9961380,JP Nagar,Quick Service Restaurant,Burgers,"Continental, Chinese",3000.0,Sample Review Text...,2,Dine-out,Bengaluru,1,2,1-2 Cuisines
"Address_408, Bangalore",Empire Restaurant,Yes,No,2.7,2807,080-5478422,Whitefield,Bar,Dosa,"Mexican, Thai, Chinese, Beverages",800.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_724, Bangalore",Nandhana Palace,Yes,No,4.2,1849,080-8239885,Marathahalli,Casual Dining,Steak,"Fast Food, South Indian",3000.0,Sample Review Text...,2,Delivery,Bengaluru,1,2,1-2 Cuisines
"Address_502, Bangalore",KFC,Yes,Yes,4.9,1380,080-3816607,HSR Layout,Fine Dining,Pasta,Italian,400.0,Sample Review Text...,1,Delivery,Bengaluru,1,1,1-2 Cuisines
"Address_659, Bangalore",Nandhana Palace,No,Yes,4.3,1063,080-4903596,Marathahalli,Cafe,Pizza,"South Indian, Fast Food",3000.0,Sample Review Text...,2,Pubs and bars,Bengaluru,1,2,1-2 Cuisines
"Address_438, Bangalore",Resto_438,No,Yes,2.3,2920,080-9612679,MG Road,Bakery,Salad,"Fast Food, Beverages, Continental, North Indian",2000.0,Sample Review Text...,4,Dine-out,Bengaluru,0,4,3+ Cuisines
"Address_765, Bangalore",Resto_765,No,No,3.3,1076,080-9176462,Marathahalli,Casual Dining,Salad,"Beverages, Thai, Fast Food",600.0,Sample Review Text...,3,Pubs and bars,Bengaluru,0,3,3+ Cuisines
"Address_225, Bangalore",Resto_225,No,No,2.2,1819,080-7917892,Marathahalli,Casual Dining,Biryani,"Desserts, Thai, Chinese, Italian",200.0,Sample Review Text...,4,Buffet,Bengaluru,0,4,3+ Cuisines
"Address_97, Bangalore",Resto_97,Yes,Yes,4.8,1523,080-7677903,Marathahalli,Bar,Sushi,Fast Food,600.0,Sample Review Text...,1,Pubs and bars,Bengaluru,1,1,1-2 Cuisines
"Address_799, Bangalore",Pizza Hut,No,Yes,3.2,1139,080-4740892,HSR Layout,Bar,Pizza,"Continental, North Indian, Mexican, Beverages",2000.0,Sample Review Text...,4,Pubs and bars,Bengaluru,0,4,3+ Cuisines
"Address_296, Bangalore",Leon Grill,Yes,Yes,2.5,1085,080-7707501,JP Nagar,Pub,Burgers,"Italian, Continental",1000.0,Sample Review Text...,2,Pubs and bars,Bengaluru,0,2,1-2 Cuisines
"Address_906, Bangalore",Burger King,No,Yes,,672,080-3354531,Whitefield,Bakery,Burgers,Desserts,1200.0,Sample Review Text...,1,Buffet,Bengaluru,0,1,1-2 Cuisines
"Address_852, Bangalore",Resto_852,No,No,3.6,2786,080-3674757,Jayanagar,Casual Dining,Pasta,"Beverages, South Indian, Thai",2500.0,Sample Review Text...,3,Dine-out,Bengaluru,0,3,3+ Cuisines
"Address_432, Bangalore",Nandhana Palace,No,No,4.6,1956,080-1800747,Whitefield,Cafe,Pizza,"Continental, Italian",2500.0,Sample Review Text...,2,Delivery,Bengaluru,1,2,1-2 Cuisines
